utc_ts,market,borrow_usd,collateral_usd,book_ltv,liq_10,liq_20,liq_30,capacity_ab_usd,distance_to_capacity
2026-09-22T15:00:06+00:00,SOL,5621511,18129651,0.3101,120113,588143,1306017,1495398,0.35
2026-09-22T15:00:06+00:00,cbDOGE,2349878,7595570,0.3094,481,87833,274681,270520,0.3
2026-09-22T15:00:06+00:00,cbADA,2068628,7393858,0.2798,56,81795,221062,242125,0.32
2026-09-22T15:00:06+00:00,cbLTC,847128,2561756,0.3307,52680,253697,326894,315192,0.27
2026-09-22T15:00:06+00:00,JitoSOL,2402924,7658524,0.3138,15416,55875,344431,1495398,0.51
2026-09-22T18:59:45+00:00,cbBTC,1451320445,3281499217,0.4423,2373983,51631599,166662103,10572910,0.11
2026-09-22T18:59:45+00:00,WETH,86581401,212957953,0.4066,1437388,8014136,15789272,20538728,0.35
2026-09-22T18:59:45+00:00,cbETH,12079181,33546894,0.3601,57376,1525934,2224903,3329191,0.38
2026-09-22T18:59:45+00:00,cbXRP,50484598,160975078,0.3136,1780,2623667,8435567,1872749,0.19
2026-09-22T18:59:45+00:00,SOL,5658260,18422820,0.3071,106968,521370,1268383,1748093,0.38
2026-09-22T18:59:45+00:00,cbDOGE,2350614,7645214,0.3075,1063,89287,274107,310819,0.32
2026-09-22T18:59:45+00:00,cbADA,2093520,7523746,0.2783,1484,123024,245285,246839,0.31
2026-09-22T18:59:45+00:00,cbLTC,854454,2610952,0.3273,56014,256844,325927,274447,0.26
2026-09-22T18:59:45+00:00,JitoSOL,2415359,7740598,0.312,9830,43152,353918,1748093,0.56
2026-09-22T22:14:42+00:00,cbBTC,1453059956,3276223827,0.4435,3542910,56083785,172197934,12220119,0.11
2026-09-22T22:14:42+00:00,WETH,87237772,213751679,0.4081,1528395,8036465,16243204,19826593,0.33
2026-09-22T22:14:42+00:00,cbETH,12099151,33524245,0.3609,59964,1570989,2245462,4048484,0.43
2026-09-22T22:14:42+00:00,cbXRP,50773148,160692140,0.316,188959,2835926,8651626,2893117,0.21
2026-09-22T22:14:42+00:00,SOL,5706283,18542871,0.3077,106270,425416,1255158,3364031,0.52
2026-09-22T22:14:42+00:00,cbDOGE,2357277,7672865,0.3072,1063,89939,274599,302609,0.32
2026-09-22T22:14:42+00:00,cbADA,2104985,7513833,0.2801,35973,129015,276205,248636,0.28
2026-09-22T22:14:42+00:00,cbLTC,860669,2642533,0.3257,56001,256810,335929,292447,0.26
2026-09-22T22:14:42+00:00,JitoSOL,2419454,7763058,0.3117,9839,42955,357324,3364031,
2026-09-23T00:38:44+00:00,cbBTC,1453589634,3285749078,0.4424,1871443,51612125,171703977,10241387,0.11
2026-09-23T00:38:44+00:00,WETH,87285718,214565267,0.4068,1322916,7978069,15963513,18820958,0.33
2026-09-23T00:38:44+00:00,cbETH,12097550,33625608,0.3598,51122,1555751,2210415,2900614,0.34
2026-09-23T00:38:44+00:00,cbXRP,50976583,162184112,0.3143,66987,2800115,8676993,1403489,0.16
